period,timestamp,minute,second,team_goals_before,opp_goals_before,team_id,team_name,player_id,player_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,score_diff,scored,direction,pressure
2,00:41:30.955,86,30,0,4,234,Sampdoria,7000,Eder Citadin Martins,0.7835,"[120.0, 42.8, 0.4]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-4,1,Right,Low
1,00:33:23.145,33,23,0,1,969,Birmingham City WFC,15580,Claudia Walker,0.7835,"[118.0, 37.9, 0.2]",40,Right Foot,88,Penalty,100,Saved,93,Normal,"[{'location': [119.4, 40.0], 'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",-1,0,Left,Medium
2,00:26:40.480,71,40,0,2,763,NJ/NY Gotham FC,5097,Carli Anne Hollins,0.7835,"[119.0, 36.6, 1.0]",40,Right Foot,88,Penalty,100,Saved,93,Normal,,-2,0,Left,Medium
2,00:19:58.657,64,58,3,0,969,Birmingham City WFC,15628,Christie Murray,0.7835,"[120.0, 36.5, 0.7]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,3,1,Left,Low
2,00:16:23.126,61,23,2,0,967,Everton LFC,16386,Lucy Hope,0.7835,"[120.0, 39.8, 2.0]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,2,1,Centre,Medium
1,00:05:07.543,5,7,1,0,217,Barcelona,19298,Samuel Eto''o Fils,0.7835,"[120.0, 36.4, 0.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,1,1,Left,Medium
2,00:26:52.966,71,52,0,0,1049,Granada,27109,Youssef El-Arabi,0.7835,"[120.0, 42.7, 1.0]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,High
2,00:30:35.580,75,35,0,4,966,Liverpool WFC,15611,Courtney Sweetman-Kirk,0.7835,"[120.0, 36.4, 1.9]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-4,1,Left,Low
1,00:32:44.781,32,44,0,1,965,Brighton & Hove Albion WFC,15579,Inessa Kaagman,0.7835,"[120.0, 43.0, 1.6]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Right,Medium
2,00:38:47.349,83,47,2,1,749,Tottenham Hotspur Women,5085,Alexandra Morgan Carrasco,0.7835,"[120.0, 37.0, 0.0]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,1,1,Left,High
2,00:43:58.315,88,58,0,0,231,Chievo,6950,Alberto Paloschi,0.7835,"[120.0, 37.0, 1.1]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Left,Extreme
2,00:11:08.346,56,8,0,1,226,Hellas Verona,20252,Luca Toni,0.7835,"[120.0, 39.3, 2.1]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Centre,High
2,00:36:56.522,81,56,1,0,2736,Bastia,15689,Floyd Ayité,0.7835,"[120.0, 37.2, 0.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,1,1,Left,High
2,00:48:23.790,93,23,2,2,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,0.7835,"[120.0, 36.5, 0.2]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,0,1,Left,Extreme
2,00:30:23.364,75,23,0,1,233,Genoa,7456,Diego Perotti,0.7835,"[120.0, 42.8, 0.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Right,Extreme
2,00:06:12.241,51,12,1,0,224,Juventus,5743,Paulo Bruno Exequiel Dybala,0.7835,"[120.0, 36.8, 1.1]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,1,1,Left,High
1,00:40:16.120,40,16,0,1,799,Saudi Arabia,5190,Fahad Mosaed Al Muwallad Al Harbi,0.7835,"[120.0, 37.6, 0.3]",40,Right Foot,88,Penalty,100,Saved,93,Normal,,-1,0,Left,Medium
1,00:50:35.240,50,35,0,1,799,Saudi Arabia,5178,Salman Mohammed Al Faraj,0.7835,"[120.0, 37.4, 2.3]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Left,High
2,00:33:53.500,78,53,0,0,861,France Women's,10125,Wendie Renard,0.7835,"[120.0, 43.7, 2.0]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Extreme
2,00:06:33.019,51,33,0,0,1205,Australia Women's,5000,Stephanie-Elise Catley,0.7835,"[120.0, 37.0, 1.8]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,0,1,Left,High
1,00:26:36.578,26,36,0,0,966,Liverpool WFC,15611,Courtney Sweetman-Kirk,0.7835,"[120.0, 36.4, 1.1]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Left,Medium
